submission_date,state - 2,tot_cases,new_case,tot_death,conf_death,new_death,State
1/23/2020,MI,0,0,0,,0,MICHIGAN
5/12/2020,MO,10587,172,677,,12,MISSOURI
4/29/2021,VT,21370,86,241,,0,VERMONT
7/23/2021,NV,349043,1003,5817,,20,NEVADA
3/23/2022,VT,107152,205,584,,1,VERMONT
4/9/2022,GU,47565,12,352,,0,GUAM
11/18/2021,VI,7427,30,84,,0,VIRGIN ISLANDS
8/31/2020,MO,91039,1903,1881,,23,MISSOURI
2/18/2021,AL,484093,810,10323,8255,29,ALABAMA
10/9/2020,ME,5647,31,143,142,0,MAINE
6/9/2021,NC,995780,469,13530,11931,0,NORTH CAROLINA
4/18/2020,ND,528,89,9,,0,NORTH DAKOTA
3/9/2021,ND,100615,101,1452,,3,NORTH DAKOTA
12/22/2020,ME,22385,506,312,307,19,MAINE
6/3/2021,AL,544215,283,11416,9118,4,ALABAMA
7/5/2021,AL,550084,185,11553,9223,5,ALABAMA
2/28/2020,MO,0,0,0,,0,MISSOURI
2/24/2022,DE,256641,119,2703,2468,0,DELAWARE
3/29/2021,NH,83340,313,1237,,0,NEW HAMPSHIRE
3/18/2021,IN,676547,971,12877,12479,14,INDIANA
1/25/2022,CA,7929436,62826,78118,,17,CALIFORNIA
3/31/2020,NH,367,53,3,,0,NEW HAMPSHIRE
7/9/2021,NV,338072,813,5720,,13,NEVADA
2/9/2022,NV,671322,1574,9270,,34,NEVADA
1/19/2022,DE,233129,1296,2440,2234,16,DELAWARE
4/27/2021,MO,583274,791,8947,,7,MISSOURI
10/17/2020,MT,22233,638,240,240,5,MONTANA
4/9/2020,VT,588,18,24,,1,VERMONT
3/21/2021,MO,562618,345,8720,,6,MISSOURI
11/3/2020,NE,75066,1546,660,,4,NEBRASKA
8/22/2020,NV,65334,637,1227,,12,NEVADA
3/13/2022,NH,300185,0,2415,,0,NEW HAMPSHIRE
2/7/2022,NH,284180,2880,2260,,14,NEW HAMPSHIRE
7/14/2021,NH,99840,40,1381,,0,NEW HAMPSHIRE
8/12/2021,MI,1026937,1934,21264,19992,12,MICHIGAN
